Number,Word,English Word(s)
1,come,"as,how,like"
2,io,I
3,il suo,his
4,che,"that,which,who"
5,lui,"he,him"
6,era,was
7,per,for
8,su,"on,up"
9,sono,are
10,con,with
11,essi,they
12,essere,be
13,a,"at,to"
14,uno,one
15,avere,have
16,questo,this
17,da,"from,by,since"
19,caldo,"hot,hot,warm"
20,parola,word
21,ma,but
22,cosa,"what,thing"
23,alcuni,"some,several"
24,è,is
25,esso,it
26,voi,you
27,o,"or,either"
28,aveva,had
29,il,the
30,di,"of,than"
32,e,and
33,un,"a,an"
34,in,in
35,noi,"we,us"
36,lattina,can
37,fuori,out
38,altro,"other,else"
39,erano,were
41,fare,do
42,loro,"their,them"
43,tempo,"time,weather"
44,se,"if,whether"
45,volontà,will
47,suddetto,said
49,ogni,"each,every"
50,dire,"tell,say,mean"
51,fa,"does,ago"
52,set,set
53,tre,three
54,desiderare,want
55,aria,air
56,bene,well
57,anche,"also,even"
58,giocare,play
59,piccolo,"small,tiny"
60,fine,"end,fine"
61,mettere,put
62,casa,"home,house"
63,leggere,read
64,mano,hand
65,porto,port
66,grande,"large,big,great,grand"
67,compitare,spell
68,aggiungere,add
70,terra,"land,earth,ground"
71,qui,here
72,mosto,must
74,alto,"high,tall"
75,tale,such
76,seguire,follow
77,atto,act
78,perché,why
79,chiedere,ask
80,maschi,men
81,cambiamento,change
82,è andato,went
83,luce,light
84,tipo,"kind,type"
85,spento,off
86,bisogno,need
88,immagine,picture
89,provare,try
91,di nuovo,again
92,animale,animal
93,punto,point
94,madre,mother
95,mondo,world
96,vicino,near
97,costruire,build
98,se stesso,self
100,padre,father
101,qualsiasi,any
102,nuovo,new
103,lavoro,"work,job"
104,parte,part
105,prendere,"take,catch"
106,ottenere,get
107,posto,place
108,fatto,"made,fact"
109,vivere,live
110,dove,where
111,dopo,after
112,indietro,back
113,poco,little
114,solo,"only,just"
115,turno,"round,turn"
116,uomo,man
117,anno,year
118,è venuto,came
119,spettacolo,show
121,buono,good
122,me,me
123,dare,give
124,il nostro,our
125,sotto,under
126,nome,name
127,molto,"very,much"
128,attraverso,through
130,forma,"form,shape"
131,frase,"sentence,phrase"
133,pensare,think
135,aiutare,help
136,basso,low
137,linea,line
138,differire,differ
140,causa,cause
143,prima,before
144,spostare,move
145,diritto,right
146,ragazzo,boy
147,vecchio,old
148,troppo,too
149,stesso,same
150,lei,"she,her"
151,tutto,"all,whole"
152,ci,there
153,quando,when
155,uso,use
156,il tuo,your
157,modo,way
158,circa,about
159,molti,many
160,allora,then
162,scrivere,write
163,sarebbe,would
165,così,"so,thus"
166,queste,these
168,lungo,long
169,rendere,make
171,vedere,see
173,due,two
174,ha,has
175,guardare,look
176,di più,more
177,giorno,day
178,potuto,could
179,andare,go
180,venire,come
181,ha fatto,did
182,numero,number
183,suono,sound
184,no,no
185,più,most
186,persone,people
187,il mio,my
188,oltre,over
189,sapere,know
190,acqua,water
192,chiamata,call
193,primo,first
195,può,may
196,giù,down
197,lato,side
198,stato,"been,state"
199,ora,"now,hour"
200,trovare,find
201,testa,head
202,stare in piedi,stand
203,proprio,own
204,pagina,page
205,dovrebbe,should
206,paese,country
207,fondare,found
208,risposta,answer
209,scuola,school
210,crescere,grow
211,studio,study
212,ancora,"still,yet"
213,imparare,learn
214,impianto,plant
215,copertura,cover
216,cibo,food
217,sole,sun
218,quattro,four
219,fra,between
221,mantenere,keep
222,occhio,eye
223,mai,"never,ever"
224,ultimo,last
225,lasciare,"let,leave"
226,pensiero,thought
227,città,"city,town"
