Number,Word,English Word(s)
1,как,"as,how,both"
2,Я,I
3,его,"his,him"
4,что,"that,what"
5,он,he
6,было,"was,had"
7,для,for
8,на,on
9,являются,are
10,с,"with,since"
11,они,they
12,быть,be
13,в,at
14,один,"one,single"
15,иметь,have
16,это,"this,it"
17,от,"from,off"
18,по,by
19,горячий,"hot,hot"
20,слово,word
21,но,but
23,некоторые,some
24,является,is
26,вы,you
27,или,"or,either"
29,площадь,"the,area"
30,из,"of,out"
31,гора,"to,mountain"
32,и,and
33,основной,"a,main,basic"
34,взял,"in,took"
35,мы,we
36,может,"can,may"
38,другой,other
39,были,were
40,который,which
41,сделать,"do,make"
42,их,"their,them"
43,время,time
44,если,if
45,будет,will
47,указанный,said
48,назад,"an,back,ago"
49,каждый,"each,every"
50,сказать,"tell,say"
51,делает,does
52,набор,set
53,три,three
54,хочу,want
55,воздух,air
56,хорошо,well
57,также,also
58,играть,play
59,небольшой,small
60,конец,end
61,положить,put
62,домой,home
63,читать,read
64,рука,"hand,arm"
65,порт,port
66,большой,"large,big,great"
67,заклинание,spell
68,добавлять,add
69,даже,even
70,земля,"land,earth,ground"
71,здесь,here
72,должны,"must,should"
74,высокий,"high,tall"
75,такие,such
76,следовать,follow
77,акт,act
78,почему,why
79,спросите,ask
80,люди,"men,people"
81,изменение,change
82,пошел,went
83,свет,light
84,вид,"kind,view"
86,нуждаться,need
87,дом,house
88,картинка,picture
89,пытаться,try
90,нам,us
91,снова,again
92,животных,animal
93,точка,point
94,мать,mother
95,мир,world
96,около,near
97,строить,build
98,самостоятельно,"self,own"
100,отец,father
101,любой,any
102,новый,new
103,работа,"work,job"
104,часть,part
105,принимать,take
106,получать,"get,receive"
107,место,"place,spot"
108,сделал,"made,did"
109,жить,live
110,где,where
111,после,after
113,немного,"little,bit"
114,только,only
115,круглый,round
116,человек,"man,person,human"
117,год,year
118,пришел,came
119,шоу,show
121,хорошее,good
122,меня,me
123,давать,give
124,наш,our
125,под,under
126,название,name
127,очень,very
128,через,through
129,просто,just
130,форма,"form,shape"
131,приговор,sentence
133,думать,think
135,помощь,help
136,низкий,low
137,линия,line
138,отличаются,differ
139,поворот,turn
140,причиной,cause
141,много,"much,lot"
142,означать,mean
143,до,"before,until"
144,движение,"move,motion"
145,право,right
146,мальчик,boy
147,старый,old
148,слишком,too
149,же,same
150,она,she
151,все,all
152,там,there
153,когда,when
154,вверх,up
155,использование,use
156,ваш,your
157,способ,way
158,о,about
159,многие,many
160,затем,then
162,запись,"write,record"
163,бы,would
164,подобно,like
165,так,so
166,эти,these
167,ее,her
168,долго,long
170,вещь,thing
171,посмотреть,see
173,два,two
174,имеет,has
175,искать,look
